City,Location_Info,State,District,Subdistrict,Division,Union_Territory,Autonomous_Division
Aruppukottai,"['Srivilliputhur - Sivakasi - Virudhunagar - Aruppukottai - Narikudi - Parthibanur Road', 'Aruppukkottai', 'Virudhunagar District', 'Tamil Nadu', '626100', 'India']",,Virudhunagar District,,,,
Maihar,"['Maihar', 'Maihar Tahsil', 'Satna District', 'Madhya Pradesh', 'India']",,Satna District,,,,
G,"['nan', 'Kapkot', 'Bageshwar District', 'Uttarakhand', 'India']",,Bageshwar District,,,,
Porbandar,"['Porbandar', 'Porbandar Taluka', 'Porbandar District', 'Gujarat', '360500', 'India']",,Porbandar District,,,,
Ranni Forest range,"['Forest Range Office', 'Ranni', 'Punalur - Muvattupuzha Main Eastern Highway', 'Vilayil -Leksham Veedu Colony', 'Mamukku', 'Mandiram', 'Ranni', 'Pathanamthitta District', 'Kerala', '689674', 'India']",,Pathanamthitta District,,,,
"Chennai, Puducherry",['Could not find data'],,,,,,
Naraina,['Could not find data'],,,,,,
Thana,['Could not find data'],,,,,,
Gudur,"['Gudur', 'Guduru', 'Krishna District', 'Andhra Pradesh', '521149', 'India']",,Krishna District,,,,
Mavelikara,['Could not find data'],,,,,,
Pondicherry,['Could not find data'],,,,,,
"Bangalore, Mumbai",['Could not find data'],,,,,,
Kangeyam,"['Kangeyam', 'Tiruppur District', 'Tamil Nadu', 'India']",,Tiruppur District,,,,
Kochukoikkal,['Could not find data'],,,,,,
Sambalpur,['Could not find data'],,,,,,
Bhatkal,"['Bhatkal', 'Bhatkal taluk', 'Uttara Kannada District', 'Karnataka', '581320', 'India']",,Uttara Kannada District,,,,
"New Delhi, Tis Hazari",['Could not find data'],,,,,,
Melur,"['Melur', 'Madurai District', 'Tamil Nadu', 'India']",,Madurai District,,,,
Nihal Vihar,['Could not find data'],,,,,,
Jhadc,['Could not find data'],,,,,,
NOIDA,"['Delhi-Noida Direct Flyway', 'Dadri', 'East Delhi District', 'Delhi', '110025', 'India']",,East Delhi District,,,,
Mirpur Mathelo,['Could not find data'],,,,,,
"Bombay, Mumbai",['Could not find data'],,,,,,
Kolhapur,"['Kolhapur', 'Kolhapur District', 'Maharashtra', '416003', 'India']",,Kolhapur District,,,,
Shillong,"['Shillong', 'Mylliem', 'East Khasi Hills District', 'Meghalaya', '793001', 'India']",,East Khasi Hills District,,,,
Manamadurai,"['Manamadurai', 'Sivagangai District', 'Tamil Nadu', 'India']",,Sivagangai District,,,,
"Bangalore, Chennai",['Could not find data'],,,,,,
Mavoor,['Could not find data'],,,,,,
"Ahmedabad, Anand","['Mumbai–Ahmedabad high-speed rail (under construction)', 'Anand Taluka', 'Anand District', 'Gujarat', '387310', 'India']",,Anand District,,,,
George Town,"['George Town', 'Zone 5 Royapuram', 'Chennai', 'Chennai District', 'Tamil Nadu', '600001', 'India']",,Chennai District,,,,
Usilambatti,['Could not find data'],,,,,,
